linear-algebra/solvers/ludcmp/ludcmp.c,linear-algebra/solvers/ludcmp/ludcmp-blocking-openmp-fma-mpi.c,linear-algebra/solvers/ludcmp/ludcmp-blocking-openmp-fma.c,linear-algebra/solvers/ludcmp/ludcmp-blocking-openmp.c,linear-algebra/solvers/ludcmp/ludcmp-blocking.c,linear-algebra/solvers/ludcmp/ludcmp-blocking-inplace.c,dataset_sizes
28215045.0,11159460.0,4613670.0,13265167.0,12839107.0,8793720.0,256
53933490.0,30780023.0,10451250.0,30928343.0,29361892.0,29927205.0,384
700557322.0,94031257.0,45614498.0,215512673.0,202166460.0,185175045.0,512
819603540.0,213063885.0,63226260.0,232096297.0,224552745.0,269637728.0,768
6230168438.0,801874867.0,296149477.0,1448964068.0,1436242882.0,1448751690.0,1024
20941445363.0,2847592125.0,1022691667.0,4672370790.0,4619127037.0,4615010010.0,1536
102451180162.0,7528215690.0,3485117340.0,11256683715.0,11045599245.0,10676939985.0,2048
160560964665.0,25129652737.0,11183113845.0,36656123332.0,36486630810.0,36635044410.0,3072
2812023416520.0,57949824217.0,25778038117.0,86982149272.0,86431015215.0,84931819650.0,4096
3419482548915.0,194405030932.0,87446884973.0,288913389615.0,290866094865.0,290654835997.0,6144
